ITEM_NO,DESCR,STK_UNIT
10021,Aronia m. Low Scape Hedger® PW,3 GAL
10022,Amelanchier x. lamarckii,15 gal
10023,Hydrangea m. Bloomstruck® ES,2 GAL
10024,Ilex glabra Strong Box® PW,2 GAL
10026,Physocarpus o. Podaras 3,3 GAL
10027,Physocarpus opulifolius,3 GAL
10028,Pinus strobus,5 gal
10029,Pinus strobus,3 GAL
10030,Picea p. Sester Dwarf,2 GAL
10037,Syringa Bloomerang® Dark P. PW,10 gal
10038,Syringa v. Franks Fancy,3 GAL
10039,Taxus x media Densiformis,5 gal
1004,Spiraea jap. Neon Flash,3 GAL
10041,Amelanchier x gr. Autumn Bril,15 gal
10042,Rhododendron x Candy Lights,5 gal
10043,Rhododendron x Cannons Double,5 gal
10044,Rhododendron x Ribbon Candy,5 gal
10045,Rhododendron x Tangerine Delig,5 gal
10046,Picea abies,5 gal
10052,Hydrangea p. Sweet Summer,7 gal
10053,Juniperus c. Hetzii Columnaris,5 gal
10059,Spiraea x van. Renaissance,7 gal
1006,Spiraea thunbergii Ogon,3 GAL
10060,Spiraea x vanhouttei,7 gal
10061,Syringa meyeri Palibin,15 gal
10062,Syringa pub. sb. pat. Miss Kim,20 gal
1008,Spiraea n. Snowmound,3 GAL
1011,Spiraea n. Snowmound,10 GAL
1013,Spiraea syriacus Sundrop™ FE,3 GAL
10131,Amelanchier x gr. Autumn Bril,10 gal
10134,Hydrangea p. Phantom TF,10 gal
10137,Syringa m. Flowerfesta® Pink,7 Gal TF
10138,Syringa m. Flowerfesta® White,7 Gal TF
1014,Spiraea x vanhouttei,3 GAL
10161,Vaccinium corymbosum Jersey,3 GAL
10162,Viburnum d. Autumn Jazz,7 gal
10163,Hydrangea a. Incrediball® PW,5 gal
10164,Viburnum d. Chicago Lustre,7 gal
10165,Amelanchier x. lamarckii,7 gal
10166,Cotinus x Grace,7 gal
10167,Prunus x cistena,5 gal
10168,Hydrangea m. Eclipse® FE,3 GAL
10174,Vaccinium corymbosum Bluecrop,3 GAL
1018,Spiraea x van. Renaissance,3 GAL
10190,Taxus x media Everlow,3 GAL
10200,Hydrangea p. Candelabra® BE,3 GAL
10201,Aronia m. Autumn Magic,7 gal
10202,Potentilla Lemon Meringue™ FE,3 GAL
10203,Violet Pinwheels Creeping Phlo,3 GAL
10204,Symphoricarpos x d. Kolmcan,3 GAL
10209,Ginkgo b. Spring Grove,10 gal
10215,Taxus x media Everlow,5 gal
10216,Picea p. Sester Dwarf,5 gal
10220,Juniperus c. Hetzii Columnaris,10 gal
10221,Pinus strobus,15 gal
10222,Picea abies,15 gal
10232,Ilex v. Berry Poppins® PW,7 gal
10234,Hydrangea p. Little Lamb PW,3 GAL
10235,Ilex v. Little Goblin® Red PW,7 gal
10236,Syringa pub. sb. pat. Miss Kim,15 gal
10237,Juniperus c. Sea Green,7 gal
10238,Aesculus parviflora,7 gal
10239,Salix c. Iceberg Alley® FE,7 gal
10240,Viburnum carlesii,5 gal
10249,Ilex v. x Sparkleberry,7 gal
1025,Syringa pub. sb. pat. Miss Kim,10 GAL
10267,Syringa m. Flowerfesta® Pink,3 GAL
1033,Syringa v. Miss Ellen Willmott,3 GAL
10339,Heptacodium micionoides,4/5'
10339,Heptacodium micionoides,4/5'
10342,Juniperus c. Gin Fizz® PW,4/5'
10342,Juniperus c. Gin Fizz® PW,4/5'
1037,Syringa v. Ludwig Spaeth,3 GAL
10451,Picea p. Bacheri,2 GAL
10452,Picea p. Fat Albert,2 GAL
10453,Picea p. Sester Dwarf,3 GAL
10454,Thuja o. Nigra Dark Green,2 GAL
10455,Thuja o. Hetz Wintergreen,2 GAL
10456,Thuja o. Techny,2 GAL
10457,Thuja o. Techny,3 GAL
10458,Viburnum d. Autumn Jazz,3 GAL
10459,Viburnum opulus Roseum,7 gal
10460,Viburnum opulus Roseum,5 gal
10461,Picea p. Baby Blue Eyes,2 GAL
10463,Aronia m. Morton,3 GAL
10464,Aronia m. Low Scape Snowfir®PW,3 GAL
10465,Exochorda x macrantha Bailmoon,3 GAL
10466,Buxus s. Varder Valley,3 GAL
10467,Picea glauca Pendula,2 GAL
10474,Ligustrum ovalifolium,3 GAL
10476,Picea abies,10 gal
10478,Tsuga canadensis,1 GAL
1048,Syringa Bloomerang® Dark P. PW,3 GAL
1049,Syringa Bloomerang® Dark P. PW,7 GAL
10509,Carpinus b. Fastigiata,7 gal
10524,GR-Pennisetum a. Lemon Squeeze,1 GAL
1053,Taxus x media Densiformis,3 GAL
1056,Taxus x media Viridis,3 GAL
1060,Thuja o. Bobozam,3 GAL
1075,Taxus x media Hicksii,5 GAL
10797,Syringa Bloomerang® Pink PW,7 Gal TF
10804,Paeonia I. Red Charm,3 GAL
10805,Paeonia l. Sarah Bernhardt Pin,3 GAL
1082,Viburnum trilobum Wentworth,5 GAL
10915,GR-Pennisetum a. Lemon Squeeze,2 GAL
10917,Thuja o. Nigra Dark Green,5 gal
10918,Thuja o. Techny,5 gal
10919,Forsythia x Lynwood Gold,7 gal
1092,Juniperus c. Gold Star,3 GAL
10920,Physocarpus o. Summer Wine® PW,7 gal
10921,Hydrangea p. Limelight® PW,7 gal
10924,Physocarpus o. Honeycomb®,3 GAL
10925,Physocarpus o. Raspberry Lemo®,3 GAL
10926,Styrax jap. Nightfall Snowbell,10 gal
10935,Magnolia x Rose Marie,10 gal
10937,Ligustrum amurense,15 gal
10940,Taxus x media Hicksii,10 gal
10954,Physocarpus o. Jefam FE,3 GAL
10979,Hydrangea p. Limelight Pr.® PW,10 gal
10980,Cephalanthus o. Bailoptics,3 GAL
10982,Acer pal. Bloodgood,20 gal
10986,Buddleia x Pugster® Amethyst,2 GAL
10987,Buddleia x Pugster® Pinker,2 GAL
10988,Viburnum pl. f. tom. Mariesii,10 gal
10993,Ilex v. Little Goblin® Orange,7 gal
1101,Taxus x media Viridis,7 GAL
11037,Vaccinium corymbosum Chandler,3 GAL
11038,Vaccinium corymbosum Legacy,3 GAL
11041,Hydrangea arb. Flowerfull,3 GAL
11050,Hydrangea p. Pinky Winky Prime,3 GAL
11051,Prunus cistena Stay Classy,3 GAL
11052,Pieris J. Interstella® PW,3 GAL
11053,Thuja o. Full Speed A Hedge® A,2 GAL
11055,Hydrangea p. Qck Fire Fab® PW,15 gal
1106,Juniperus c. Gold Lace,3 GAL
11063,Syringa v. Albert F. Holden,7 gal
11081,Hydrangea p. Limelight Pr.® PW,10 Gal TF
11092,Ilex v. Little Goblin® Guy PW,7 gal
11093,Juniperus c. Spartan,3 GAL
11094,Juniperus c. Gold Coast,3 GAL
1114,Hydrangea q. Sike's Dwarf,3 GAL
11199,Acer r. Frank Jr.,20 gal
11200,Hydrangea p. Phantom,7 GAL
1126,Picea a. Nidiformis,5 GAL
1144,Ilex v. x Sparkleberry,3 GAL
1766,Ilex m. Blue Maid,10 GAL
1802,Salix p. Nana,3 GAL
1880,Hydrangea q. Queen of Hearts,3 GAL
1897,Physocarpus o. Monlo (Diablo),7 GAL
2059,Rhus t. Tiger Eyes® Bailtiger,3 GAL
2069,Hydrangea a. Incrediball® B PW,3 GAL
2070,Hydrangea a. Invin.® Ruby PW,3 GAL
2072,Hydrangea p. Kolmakilima BE,3 GAL
2073,Physocarpus o. Dart's Gold,3 GAL
2100,Chamaecyparis o. Gracilis,3 GAL
2102,Chamaecyparis o. Nana Gracilis,3 GAL
2116,Buxus m. Sprinter® PW,3 GAL
2121,Hydrangea q. Gatsby Gal® PW,3 GAL
2122,Hydrangea q. Gatsby Star® PW,3 GAL
2124,Ilex v. Mr. Poppins® PW,3 GAL
2125,Itea v. Scentlandia® PW,3 GAL
2131,Fothergilla gardenii,2 GAL
2132,Hydrangea q. Snow Queen,3 GAL
2135,Taxus x media Everlow,2 GAL
2145,Buxus x Chicagoland Green®,3 GAL
2154,Thuja o. Fire Chief™,3 GAL
2190,Cercis c. Minnesota Strain,10 GAL MS
2214,Viburnum trilobum Wentworth,3 GAL
2215,Rubus f. Chester Thornless,3 GAL
2216,Rubus i. Heritage,3 GAL
2231,Vaccinium corymbosum Patriot,3 GAL
2235,Buxus m. var. j. Winter Gem,5 GAL
2242,Physocarpus o. Jefam FE,7 GAL
2338,Weigela Sonic Bloom® Pink PW,3 GAL
2402,Cornus ston. Arctic Fire® PW,7 GAL
2510,Viburnum d. Chicago Lustre,3 GAL
269,Aesculus pavia,3 GAL
2821,Hydrangea p. Bobo® PW,5 GAL
2840,Forsythia x Northern Gold,3 GAL
2856,Vaccinium corymbosum Bluecrop,2 GAL
286,Aronia a. Brilliantissima,7 GAL
290,Aronia m. Low Scape Mound® PW,3 GAL
2945,Betula x. plet.Cesky Gold® PW®,3 GAL
2950,Picea a. Nidiformis,7 GAL
3025,Sambucus n. Golden Tower™,3 GAL
3027,Physocarpus o. Center Glow,3 GAL
3031,Amelanchier x gr. Autumn Bril,5 GAL
3122,Hydrangea m. Summer Crush® ES,3 GAL
3137,Spiraea x van. Renaissance,15 GAL
3138,Hydrangea p. Grandiflora,7 GAL
3184,Hydrangea p. Zinfin Doll® PW,7 GAL
3194,Sambucus n. Black Lace® PW,7 GAL
3195,Sambucus n. Eiffel 1 Black Tow,7 GAL
3197,Hydrangea p. Flare™ BE,2 GAL
3203,Spiraea jap. Poprocks® Pet BE,2 GAL
3204,Weigela Electric Love® BE,2 GAL
3211,Aronia m. Ground Hug ®PW,3 GAL
3213,Hydrangea q. Gatsby Moon® PW,3 GAL
3216,Juniperus c. Montana Moss® PW,3 GAL
3221,Thuja o. Anna's Magic Ball® PW,3 GAL
3222,Thuja Tater Tot® PW,3 GAL
3223,Thuja o. Filips Magic Mo.® PW,3 GAL
3226,Weigela My Monet Pple Eff.® PW,3 GAL
3232,Euonymus a.o. Little Moses,3 GAL
3313,Weigela Wine & Roses® PW,7 GAL
333,Buxus m. Green Gem,3 GAL
336,Buxus x Green Mountain,3 GAL
337,Buxus x Green Mountain,7 GAL
3385,Forsythia x i. Magical® Gold,7 GAL
3417,Hydrangea p. L. Quick Fire® PW,7 GAL
344,Buxus x Green Velvet,5 GAL
345,Buxus x Green Velvet,7 GAL
350,Buxus m. var. j. Winter Gem,3 GAL
3532,Clethra a. Ruby Spice,7 GAL
3558,Weigela Sonic Bloom® Pure Pink,3 GAL
3619,Chamaecyparis o. Nana Gracilis,1 GAL
3621,Hydrangea a. Invi. Limetta® PW,3 GAL
3624,Hydrangea m. Bloomstruck® ES,7 GAL
3625,Hydrangea m. Bloomstruck® ES,10 GAL
371,Cephalanthus o.Sugar Shack® PW,3 GAL
3733,Hydrangea p. Flare™ BE,5 GAL
3751,Chamaecyparis p. Golden Mop,3 GAL
3752,Pinus mugo Mops,3 GAL
3764,Chamaecyparis o. Kosteri,3 GAL
3776,Physocarpus o. Panther™ BE,2 GAL
388,Chaenomeles Double Take® Pink,3 GAL
402,Clethra a. Hummingbird,3 GAL
403,Clethra a. Ruby Spice,3 GAL
404,Clethra a. Sixteen Candles,3 GAL
4048,Itea v. Merlot,3 GAL
4049,Hydrangea m. Wedding Gown,3 GAL
406,Cornus a. Ivory Halo®,7 GAL
407,Cornus ser. Cardinal,3 GAL
410,Cornus ston. Arctic Fire® PW,3 GAL
412,Fothergilla gardenii,3 GAL
414,Hydrangea a. Annabelle,3 GAL
417,Hydrangea p. Bobo® PW,3 GAL
419,Hydrangea a. Incrediball® PW,3 GAL
420,Hydrangea a. Incrediball® PW,7 GAL
421,Hydrangea p. Limelight® PW,3 GAL
425,Hydrangea p. Little Lime® PW,3 GAL
427,Hydrangea p. Little Lime® PW,7 GAL
428,Hydrangea p. L. Quick Fire® PW,3 GAL
430,Hydrangea petiolaris,3 GAL
4307,Juniperus c. Nicks Compacta,3 GAL
4314,Physocarpus o. Sum. Wine® B PW,3 GAL
432,Hydrangea p. Phantom,3 GAL
4323,Ilex v. Red Sprite,3 GAL
4325,Syringa v. Yankee Doodle,3 GAL
4328,Aesculus parviflora,3 GAL
433,Hydrangea q. Pee Wee,3 GAL
4336,Euonymus a. compactus,10 GAL
4338,Chamaecyparis o. Compacta,3 GAL
434,Hydrangea q. Ruby Slippers,3 GAL
4340,Chamaecyparis o. Nana Lutea,3 GAL
4347,Picea mariana Nana,3 GAL
4349,Buxus x Green Velvet,2 GAL
4351,Callicarpa x Pearl Glam®,3 GAL
4353,Chaenomeles Double Take®Scarle,3 GAL
4354,Chamaecyparis l. Pinpoint® Blu,3 GAL
4355,Clethra a. Sugartina® Crystali,3 GAL
4356,Cornus st. Arctic Fire® Yellow,3 GAL
4358,Ilex v. Berry Heavy® PW,3 GAL
4359,Ilex v. Little Goblin® Guy PW,3 GAL
4360,Ilex v. Little Goblin® Red PW,3 GAL
4363,Philadelphus c. Illuminati Arc,3 GAL
4364,Philadelphus c. Illuminati Tow,3 GAL
438,Ilex v. Red Sprite,7 GAL
4385,Weigela Czechmark Trilogy® PW,3 GAL
4388,Cotinus c. Winecraft Gold®PW,3 GAL
4390,Heptacodium m.Temple of Bloom®,3 GAL
4399,Viburnum c. Spice Baby™ PW,7 GAL
440,Ilex v. Southern Gentleman,5 GAL
4400,Salix p. Nana,7 GAL
441,Ligustrum amurense,3 GAL
4411,Spiraea jap. Empire™ Yeti,3 GAL
4412,Pinus s. Green Twist,3 GAL
4419,Pinus mugo var. pumilio,3 GAL
4425,Rubus i. Latham,3 GAL
4428,Vaccinium corymbosum Chippewa,3 GAL
443,Ligustrum amurense,7 GAL
4433,Juniperus h. Hughes,3 GAL
445,Microbiota d. Celtic Pride® PW,3 GAL
4453,Rosa r. Alba,3 GAL
4460,Rosa x Blanc Double de Coubert,3 GAL
4462,Clethra a. Hummingbird,10 GAL
4473,Spiraea Double Play® Candy® PW,2 GAL
4482,Rosa r. Dwarf Pavement,3 GAL
4487,Cornus s. Bud's Yellow,3 GAL
4489,Hydrangea p. Quick Fire® PW,10 GAL
449,Rhus a. Gro-Low,3 GAL
451,Sambucus n. Eiffel 1 Black Tow,3 GAL
452,Stephanandra incisa Crispa,3 GAL
453,Syringa meyeri Palibin,3 GAL
4547,Potentilla f. Bella Bianca® BE,2 GAL
455,Syringa meyeri Palibin,7 GAL
456,Syringa pub. sb. pat. Miss Kim,3 GAL
458,Syringa pub. sb. pat. Miss Kim,7 GAL
461,Viburnum d. Blue Muffin® PW,3 GAL
472,Viburnum trilobum,15 GAL
476,Weigela Wine & Roses® PW,3 GAL
495,Viburnum trilobum Wentworth,7 GAL
496,Viburnum trilobum Wentworth,15 GAL
506,Viburnum pl. f. tom. Mariesii,3 GAL
513,Viburnum n. Brandywine™ PW,3 GAL
5225,Taxus x media Densiformis,5 GAL
5451,Forsythia x Northern Gold,5 GAL
5453,Hibiscus s. Blue Angel™,3 GAL
5456,Spiraea japonica var. alpina,2 GAL
5457,Cercis c. Minnesota Strain,15 gal
546,Chamaecyparis o. Tempelhof,4/5'
553,Chamaecyparis p. Lemon Thread,3 GAL
5620,Heptacodium m. Tianshan® FE,3 GAL
5656,Pinus s. Blue Shag,5 GAL
5682,Vaccinium corymbosum Bluecrop,5 GAL
5693,Clethra a. Summer Sparkler™,3 GAL
5695,Hydrangea m. Starfield™ BE,2 GAL
5697,Sorbaria s. Cherry On Top™ BE,3 GAL
5698,Spiraea Double Play® Doozie PW,3 GAL
5700,Hydrangea p. Limelight Pr.® PW,3 GAL
5713,Physocarpus o. Ginger Wine®,3 GAL
5716,Viburnum c. Spice Baby™ PW,2 GAL
5717,Weigela Mnight Wine Shine® PW,3 GAL
5718,Weigela Very Fine Wine® PW,3 GAL
5719,Aronia m. Viking,3 GAL
572,Cornus a. Elegantissima,3 GAL
5724,Hydrangea p. Qck Fire Fab® PW,3 GAL
5725,Juniperus c. Gin Fizz® PW,3 GAL
5726,Philadelphus c. Illuminati Tow,2 GAL
573,Cornus a. Elegantissima,7 GAL
575,Cornus a. Ivory Halo®,3 GAL
5750,Hydrangea p. Fire Light® PW,10 GAL
5752,Weigela Tuxedo™ BE,7 GAL
5758,Cotinus c. Winecraft Gold®PW,7 GAL
5759,Hydrangea m. Summer Crush® ES,7 GAL
576,Cornus a. Ivory Halo®,5 GAL
5760,Spiraea x vanhouttei,15 GAL
5781,Juniperus squamata Blue Star,2 GAL
5782,Forsythia x Northern Gold,10 GAL
5784,Rubus f. Darrow,3 GAL
5786,Hydrangea m. Kimono™ BE,3 GAL
5787,Spiraea x bum. Anthony Waterer,7 GAL
5795,Cotinus c. Ancot,3 GAL.
5796,Salix c. Iceberg Alley® FE,3 GAL
5802,Weigela My Monet Pple Eff.® PW,7 GAL
5803,Salix i. Hakuro Nishiki,10 GAL
5805,Ligustrum ovalifolium,7 GAL
5808,Cornus a. Golden Prairie Fire,7 GAL
5821,Hydrangea p. Candelabra® BE,10 GAL
5822,Syringa meyeri Palibin,5 GAL
5831,Buxus m. Green Gem,2 GAL
5832,Buxus m. Green Gem,5 GAL
5900,Euonymus a.o. Little Moses,5 GAL
5901,Euonymus a.o. Little Moses,7 GAL
5914,Picea orientalis Barnes,3 GAL
5916,Cornus sericea,1 GAL
5917,Pinus strobus,7 GAL
5919,Rubus f. Black Satin,3 GAL
598,Cornus ser. Baileyi,3 GAL
6020,Hydrangea p. Little Hottie® FE,3 GAL
6021,Potentilla f. Creme Brulee™ FE,3 GAL
607,Cornus sericea,3 GAL
619,Cotinus c. Royal Purple,3 GAL
6242,Forsythia x Lynwood Gold,5 GAL
6246,Syringa v. Congo,3 GAL
6308,Physocarpus o. Red Baron,10 GAL
634,Euonymus a. compactus,3 GAL
6358,Syringa vulgaris Alba,3 GAL
6363,Amelanchier x. lamarckii,5 GAL
6365,Cornus racemosa,5 GAL
6366,Cornus racemosa,7 GAL
6367,Salix p. Nana,5 GAL
638,Euonymus a. compactus,15 GAL
6385,Hibiscus s. Blue Angel™,7 GAL
6393,Diervilla Kodiak Fresh®PW,3 GAL
6394,Buddleia x Pugster® Blue,3 GAL
6395,Chamaecyparis l. Haywire®,3 GAL
6396,Diervillia Kodiak® Orange PW,3 GAL
6398,Hydrangea p. L. Lime Punch® PW,3 GAL
6399,Hydrangea m. Let's D. iArr® PW,3 GAL
6400,Hydrangea m. Lets D.C.Do!® PW,3 GAL
6403,Kolkwitzia a. Jolene Jolen® PW,3 GAL
6405,Viburnum p. Steady Eddy®,3 GAL
6406,Weigela Spilled Wine® PW,3 GAL
6407,Weigela Midnight Sun® PW,3 GAL
6408,Hydrangea p. Fire L.Tidbit® PW,3 GAL
6419,Buddleia x Miss Molly,3 GAL
6422,Hydrangea s. Pink Dynamo™ BE,2 GAL
6432,Pinus s. Green Twist,"24-30"""
6433,Weigela Wine & Roses® PW,10 GAL
6434,Sambucus n. Laced Up® PW,3 GAL
6436,Weigela Tuxedo™ BE,3 GAL
6437,Physocarpus o. Panther™ BE,5 GAL
6438,Salix i. Flamingo,10 GAL
6439,Hydrangea p. Qck Fire Fab® PW,7 GAL
6440,Hydrangea p. Torch™ BE,2 GAL
6443,Picea abies,7 GAL
6447,Hydrangea p. Limelight Pr.® PW,7 GAL
6448,Syringa m. p. Baby Kim® PW,5 GAL
6458,Rhododendron x Candy Lights,3 GAL
6459,Rhododendron x Cannons Double,3 GAL
6460,Rhododendron x Ribbon Candy,3 GAL
6461,Rhododendron x Tangerine Delig,3 GAL
6462,Rhododendron x Westons Innoce,3 GAL
6466,Viburnum pl. f. tom. Shasta,3 GAL
647,Forsythia x Meadowlark,3 GAL
648,Forsythia x Meadowlark,5 GAL
649,Forsythia x Meadowlark,7 GAL
650,Forsythia x Meadowlark,10 GAL
6536,Ligustrum amurense,10 GAL
655,Forsythia x ShowOff®PW,3 GAL
656,Forsythia x ShowOff Starlet®PW,3 GAL
660,Forsythia x i. Magical® Gold,3 GAL
6663,Caryopteris x cl. Blue Mist,3 GAL
6664,Syringa v. Franks Fancy,1 GAL
6666,Hydrangea p. Fire L.Tidbit® PW,5 GAL
6668,Hydrangea p. L. Lime Punch® PW,7 GAL
6669,Viburnum d. Blue Muffin® PW,7 GAL
6670,Forsythia x Lynwood Gold,10 GAL
6689,Physocarpus opulifolius,5 GAL
677,Hamamelis virginiana,3 GAL
6785,Chamaecyparis p. Sun Gold,3 GAL
6793,Weigela Afterglow™ BE,3 GAL
6794,Itea v. Fizzy Mizzy® PW,3 GAL
6795,Juniperus squamata Blue Star,1 GAL
6796,Heptacodium micionoides,20 GAL
6797,Chamaecyparis o. Nana Gracilis,2 GAL
6798,Picea a. Little Gem,3 GAL
6799,Picea a. Little Gem,7 GAL
6918,Hydrangea p. Torch™ BE,3 GAL
694,Hamamelis virginiana,5 GAL
6985,Rosa x Lemon Drift®,3 GAL
6987,Magnolia x a. Yellow Bird,2 GAL
7013,Aronia a. Brilliantissima,3 GAL
7015,Aronia a. Brilliantissima,7 GAL
7016,Vaccinium corymbosum Duke,3 GAL
703,Hydrangea m. Bloomstruck® ES,3 GAL
10119,GR-Carex pensylvanica,1 GAL
10120,GR-Deschampsia Ces. Goldtau,1 GAL
10121,GR-Hakonechloa Macra,1 GAL
10126,GR-Panicum v. Apache Rose,3 GAL
10157,GR-Miscanthus s. Morning Light,3 GAL
10188,GR-Miscanthus s. Strictus,2 GAL
10226,GR-Festuca c. Elijah Blue,2 GAL
10277,Liriope Muscari 'Variegata',1 GAL
10279,GR-Miscanthus s. Strictus,3 GAL
10420,GR-Pennisetum a. Little Bunny,1 GAL
10442,GR-Miscanthus s. Rigoletto,2 GAL
10449,GR-Miscanthus s. Strictus,3 GAL
10607,GR-Miscanthus x Giganteus,3 GAL
10624,GR-Schizachyrium Standing Ovat,3 GAL
10701,GR-Pennisetum Lumen Gold,1 GAL
10731,GR-Miscanthus s. Fire Dragon,3 GAL
10732,GR-Pennisetum a. Little Bunny,3 GAL
10756,GR-Panicum v. Cloud Nine,3 GAL
10757,GR-Pennisetum a. Piglet,3 GAL
10890,Liriope Spicata,18 cell Tray
10908,GR-Festuca a. Perfect Edging,2 GAL
10909,GR-Panicum v. Apache Rose,1 GAL
10913,GR-Schizachyrium scoparium,1 GAL
10969,GR-Miscanthus s. Gracillimus,5 gal
10978,GR-Miscanthus s. Gracillimus,2 GAL
10983,GR-Miscanthus s. Dixieland,2 GAL
10985,GR-Miscanthus x Giganteus,7 gal
11029,GR-Schizachyrium Standing Ovat,1 GAL
11030,Liriope Spicata,1 GAL
11035,GR-Pennisetum aloepurcuroides,2 GAL
11070,GR-Miscanthus s. Morning Light,2 GAL
11102,GR-Calamagrostis x Lightning S,3 GAL
11114,GR-Miscanthus s. Gracillimus,7 gal
11115,GR-Miscanthus s. Little Kitten,3 GAL
11116,GR-Miscanthus s. Oktoberfest,3 GAL
11117,GR-Miscanthus s. Purpurascens,3 GAL
11150,GR-Miscanthus s. Little Kitten,2 GAL
11152,GR-Pennisetum v. Prairie Winds,3 GAL
1427,GR-Liriope m. Big Blue,1 GAL
2684,GR-Hakonechloa m. Aureola,1 GAL
4193,GR-Pennisetum Red Head,3 GAL
5779,GR-Hakonechloa m. All Gold,1 GAL
6387,GR-Miscanthus s. Gracillimus,3 GAL
6388,GR-Miscanthus s. Adagio,3 GAL
6389,GR-Pennisetum a. Cassian,3 GAL
6920,GR-Liriope m. Big Blue,PINT
6979,GR-Panicum v. Cheyenne Sky PW,3 GAL
7030,GR-Calamagrostis Karl Foerster,2 GAL
10010,GR-Pennisetum a. Hameln,1 GAL
10051,GR-Panicum v. Shenandoah,3 GAL
10241,GR-Miscanthus s. Graziella,3 GAL
10938,GR-Pennisetum Desert Plains,3 GAL
10939,GR-Panicum Niagara Falls PW,3 GAL
10941,GR-Panicum v. Cheyenne Sky PW,1 GAL
1303,GR-Miscanthus s. Variegatus,3 GAL
1838,GR-Calamagrostis Karl Foerster,3 GAL
1932,GR-Pennisetum a. Hameln,3 GAL
3228,GR-Pennisetum a. Foxtrot,3 GAL
4317,GR-Calamagrostis Avalanche,3 GAL
6375,GR-Schizachyrium s. The Blues,2 GAL
6380,GR-Pennisetum a. Hameln,2 GAL
6386,GR-Miscanthus s. Morning Light,3 GAL
6975,GR-Deschampsia Cespitosa,3 GAL
10865,S-Ontario Boulders,Pallet
10866,S-Ontario Boulders,Each
10867,S-West Mountain Boulder,Pallet
10868,S-West Mountain Boulder,Each
10869,"S-NY Cobbles 8-14""",Pallet
10870,S-Yukon Valley Black River Sto,Bag
10871,Mexican Beach Pebbles,Pallet
10872,S-NY Skippers,Pallet
10873,S-Belgium Blocks Grey Regular,Pallet
10874,S-Belgium Blocks Grey Regular,Each
10875,"S-Seneca Boulder Sawn 40""",Each
10876,S-Guillotine Seneca Boulder Gr,Each
10142,Hosta Royal Crest,2 GAL
10143,Hosta First Frost,1 GAL
10144,Hosta Shadowland® Empress PW,1 GAL
10153,Hosta Great Expectations,1 GAL
10154,Hosta Patriot,2 GAL
10661,Hosta Shadowland® Waterslid PW,1 GAL
10831,Hosta Blue Angel,2 GAL
10832,Hosta Minuteman,2 GAL
10886,Hosta Shadowland® Coast to Coa,1 GAL
10923,Hosta Shadowland Above the Clo,1 GAL
11068,Hosta Frances Williams,1 GAL
1424,Hosta Minuteman,1 GAL
1832,Hosta Halcyon,2 GAL
4078,Hosta Guacamole,1 GAL
4079,Hosta Patriot,1 GAL
4124,Hosta Blue Angel,1 GAL
5153,Hosta Shadowland® Autumn Fr PW,1 GAL
5154,Hosta Big Daddy,2 GAL
5156,Hosta Shadowland® Hudson PW,1 GAL
5157,Hosta Island Breeze,1 GAL
5158,Hosta Liberty,2 GAL
5160,Hosta s. Elegans,1 GAL
5161,Hosta Sum & Substance,1 GAL
6140,Hosta s. Elegans,2 GAL
6675,Hosta Shadowland® Diamond PW,1 GAL
6676,Hosta Krossa Regal,1 GAL
6677,Hosta Abiqua Drinking Gourd,1 GAL
6697,Hosta Shadowland® Empress PW,2 GAL
6715,Hosta Guacamole,2 GAL
6786,Hosta Krossa Regal,2 GAL
6934,Hosta June,QUART
6935,Hosta Patriot,QUART
6966,Hosta Wind Beneath My Wings,2 GAL
1535,Mulch - Color Enhanced Brown,YARD
1617,Mulch - Color Enhanced Black,YARD
1618,Mulch - Dark Premium,YARD
1619,Mulch - Paddock Peat,YARD
10007,Aster n. Kickin® Purple,2 GAL
10008,Rudbeckia f. Goldblitz,1 GAL
10009,Rudbeckia triloba,1 GAL
10065,Helleborus HGC® Ice N Roses® P,1 GAL
10066,Helleborus HGC® Ice N Roses® W,1 GAL
10067,Helleborus HGC®  Pink Frost,1 GAL
10116,Ajuga rep. Chocolate Chip (GC),cell
10127,Digitalis p. Camelot Lavender,3 GAL
10128,Monarda bradburiana,1 GAL
10129,Phlox p. Luminary® Ultravio PW,1 GAL
10130,Sedum spur. Rock Candy,1 GAL
10145,Lamium m. White Nancy,1 GAL
10146,Phlox s. Spring White,1 GAL
10147,Sedum x Rock 'N Round® 'Bright,1 GAL
10150,Aster n. Grape Crush,1 GAL
10152,Digitalis h. Artic Fox Rose,1 GAL
10155,Iris p. Variegata,1 GAL
10158,Monarda BeeMine Red,1 GAL
10160,Ligularia Little Rocket,1 GAL
10184,Anemone Lucky Charm,1 GAL
10185,Astilbe x c. Dark Side® PW,2 GAL
10186,Rudbeckia f. Goldblitz,2 GAL
10187,Veronica Magic Show® Ever Aft,1 GAL
10194,Anemone Pocahontas,1 GAL
10195,Echinacea p. Magnus,3 GAL
10196,Phlox p. Sweet Summer Queen,1 GAL
10197,Phlox p. Sweet Summer Candy,1 GAL
10198,Platycodon g. Pop Star™ White,1 GAL
10199,Amsonia tab. Storm Cloud,1 GAL
10223,Phlox p. Volcano® White,1 GAL
10225,GR-Andropogon g. Blackhawks,1 GAL
10242,Coreopsis Li'l Bang® Enchanted,1 GAL
10243,Coreopsis Li'l Red® Elf,2 GAL
10244,Phlox x Opening Act White® PW,1 GAL
